text,label,idiom_string,source
"since then, many of his followers have been martyred for refusing to keep quiet and toe the ' official ' line.",1,toe the line,MAGPIE
"the director wants you to do it a certain way, and either you don't feel that he's right or you feel that he's right but he's forcing you to be a square peg in a round hole.",0,in the hole,MAGPIE
"furthermore, as the number of knowledge - based systems are growing, it makes sense to use pre - existing systems in co - operation, wherever possible, rather than developing new systems from scratch.",1,from scratch,MAGPIE
but black the orange light's shining on the red button made it look black.,0,on the button,MAGPIE
"‘ eight down here,’ cried tuppe, just for the hell of it.",1,for the hell of it,MAGPIE
the labour party were leaving no stone unturned and had published ‘ the new social order’.,1,leave no stone unturned,MAGPIE
"yet, even as this crisis came to a head, the bishops remained unrepentant.",1,come to a head,MAGPIE
"the wise man back in proverbs in chapter twenty eight and verse thirteen he says, he who conceals his transgression will not prosper but he who confesses and forsakes them will find compassion.",0,chapter and verse,MAGPIE
they say that the police have not got the resources — but this game is going to be behind closed doors.’,1,behind closed doors,MAGPIE
vivien duffield keeps the wolves from the door — this year,1,keep the wolf from the door,MAGPIE
probably a few friends in high places but it would be better to recruit them instead.,1,friends in high places,MAGPIE
"now that lucky jupiter is making such an exciting connection to your sign, you 'll start to feel you 're really going places.",1,go places,MAGPIE
"a bronze plaque, featuring professor solomons, will hang in the corridors of the university alongside the other 51 inductees — including two other british chartered accountants who also made the grade, arthur dicksee and lord benson.",1,make the grade,MAGPIE
"and juliet suddenly remembered donna, and mrs hazell's frightened face came to her mind.",1,come to mind,MAGPIE
hard times require touch measures as logica gets a grip on problematic us,1,get a grip,MAGPIE
"there's echo there's echo goes from strength to strength to the extent that one of its competitors, the main competitor, tribune del expansione was obliged to merge with lacoude francais i mentioned earlier that ensure was re - launched and er it achieved a circulation of a hundred and five thousand.",1,go from strength to strength,MAGPIE
"trying to drive yours up, spread on the table, not on the carpet, cos you he has to move everything on the carpet it's not so slippy.",0,on the carpet,MAGPIE
"the guardian of dec. 29 reported that wang had "" been under a cloud "" ever since the police force had failed to control the nationwide pro - democracy demonstrations of april - june 1989 [ see pp. 36587 ; 36640 - 41 ; 36720 - 22 ].",1,under a cloud,MAGPIE
but companies that are willing to take the time to lay this solid foundation will gain the edge in the long run.,1,in the long run,MAGPIE
twenty - three year - old allen taylor is ‘ sick and tired’ of the continuing attacks on his parents ' house and is appealing for help.,1,sick and tired,MAGPIE
"the can is carried here, agnes thought.",1,carry the can,MAGPIE
"after an upbringing like his, dealing with an old autocrat like balestre was, well, child's play.",1,child's play,MAGPIE
there is no man dressed in black wearing an elaborate black ~ mask,0,in the black,MAGPIE
"but since the state is unwilling to go the distance alone, rest assured his answer will be no.",1,go the distance,MAGPIE
"she 'd still be in there, under the kitchen table, and number seven — mother of god, that was hers!",1,under the table,MAGPIE
"they had meant to go out to lunch, or nick had.",0,out to lunch,MAGPIE
"despite intensive instruction during the world cup, i was still unable to get to grips with offside by the time tomorrow belonged to germany.",1,get to grips with,MAGPIE
beggars can't be choosers : better to depend even on dubious private money than a criminal state,0,on the money,MAGPIE
"for all his coinciding with the world of fashion, with the glamour and risks of the pederasty he helped publicise, mapplethorpe's pictures remain alien to the canons of american good taste and to meat - and - potato american ideas about art.",1,meat and potatoes,MAGPIE
"i was red, if i 'm in the red light area, she's going off, banging her.",0,in the red,MAGPIE
only rough and ready figures are available because of problems of definition.,1,rough and ready,MAGPIE
"they lost, but during the struggle the rank - and - file movement gained control of the umwa.",1,rank and file,MAGPIE
"a set of leather - bound novels by thackeray and the works of william shakespeare in red morocco had gone, too, leaving obvious gaping holes on the shelves.",0,on the shelf,MAGPIE
"the state has, in a sense, to define what proper care is, or at least what falls short of it.",1,fall short,MAGPIE
"not unexpectedly, perhaps, it contains that spot on the world's surface that is most distant from land — where the longitude 118 ° 30'w intersects 47 ° 30 's is an equal 1,560 miles from the nearest coasts of chile, peter island in antarctica and an uninhabited british colonial possession, a member of the pitcairn group called ducie island.",0,spot on,MAGPIE
