source_idiom,source_lang,target_idiom,target_lang,label,idiom_string,split,source
"The boy pulled himself together so hastily that his limbs got in the way, and his wood violin was within a hair's breadth of falling into the fire.",en,,,1,a hair's breadth,train,MAGPIE
"Martin Rosenbaum, the family adviser, added : ‘ This very narrow decision by the court shows that the Government can hang on to its defence of corporal punishment only by a hair's breadth.’",en,,,1,a hair's breadth,train,MAGPIE
The cutting edge of his sword was a hair's - breadth from Barakai's forehead.,en,,,1,a hair's breadth,train,MAGPIE
"To pipe stars, hold the bag at right angles to the surface to be iced, with the nozzle just a hair's breadth away.",en,,,1,a hair's breadth,train,MAGPIE
"Gallup for The Daily Telegraph gave the Conservatives a hair's breadth half - point lead over Labour, with the Liberal Democrats in danger of being squeezed as the two main parties battle to emerge as the largest party in a possible hung parliament.",en,,,1,a hair's breadth,train,MAGPIE
Anglesey for example are within a hair's breadth of attaining theirs.,en,,,1,a hair's breadth,train,MAGPIE
Anglesey for example are within a hair's breadth of attaining theirs.,en,,,1,a hair's breadth,train,MAGPIE
"Usually they 're silly things were you haven't quite clipped in correctly to the rope and suddenly, zap, you realise you 've missed death by only a hair's breadth.",en,,,1,a hair's breadth,train,MAGPIE
"It is only necessary to behold thus the least phenomenon, however familiar, from a point a hair's breadth aside from our habitual path a routine, to be overcome, enchanted by its beauty and significance.",en,,,1,a hair's breadth,train,MAGPIE
Burun guessed that Kiku had been no more than a hair's - breadth away from being impaled on the st'lyan's gilden horn.,en,,,1,a hair's breadth,train,MAGPIE
His more startling assertion in a long television interview last week that some members of the banned P2 masonic lodge were also ‘ patriots’ brought Mr Cossiga within a hair's breadth of provoking a constitutional crisis.,en,,,1,a hair's breadth,train,MAGPIE
"' The men are not deviating by one hair's breadth from the ordinary system of training, ' he told the Daily News.",en,,,1,a hair's breadth,train,MAGPIE
You escaped death by a hair's breadth.’,en,,,1,a hair's breadth,train,MAGPIE
"Their stories appear to rupture time, bringing them within a hair's breadth of one another.",en,,,1,a hair's breadth,train,MAGPIE
"Yet, unlike the middle class, the worker was rarely more than a hair's breadth removed from the pauper, and insecurity was therefore constant and real.",en,,,1,a hair's breadth,train,MAGPIE
As Lisa pulled the door open Josey stepped out into the night … and literally came within a hair's breadth of walking straight into the tall dark figure who was striding up the path.,en,,,1,a hair's breadth,train,MAGPIE
"At 5′ 6″ and 9 ¼ stone, Hanif was the slightest of all postwar Test leaders, beating Hassett by a hair's breadth.",en,,,1,a hair's breadth,train,MAGPIE
"Muriel, probably because of her years and the fact they were looking for a more mature person, was by a hair's breadth the front - runner, ahead of two younger girls both with experience of the insurance business.",en,,,1,a hair's breadth,train,MAGPIE
"The classic case is that of the American bison, reduced from millions to a handful of individuals, and saved from extinction by a hair's breadth.",en,,,1,a hair's breadth,train,MAGPIE
"‘ Of course I do,’ he replied, relaxing and stretching his long legs out in front of him, so that they were within a hair's breadth of brushing against hers.",en,,,1,a hair's breadth,train,MAGPIE
"‘ I say Charlie, a little bird told me that Joe there's been a bit crafty.",en,,,1,a little bird told me,train,MAGPIE
"' A little bird tells me — oh, St - Jean is full of them — you are dining every night at that great barrack of a house. '",en,,,1,a little bird told me,train,MAGPIE
A little bird tells me that Scottish & Newcastle's private jet has been spotted in the neighbourhood of Pilsen.,en,,,1,a little bird told me,train,MAGPIE
"' A little bird told me it was your birthday, ' he said.",en,,,1,a little bird told me,train,MAGPIE
"' A penny for your thoughts, ' she said brusquely, and he glanced up.",en,,,1,a penny for your thoughts,train,MAGPIE
' A penny for your thoughts.,en,,,1,a penny for your thoughts,train,MAGPIE
"' Penny for your thoughts, Piper, ' the Trog said.",en,,,1,a penny for your thoughts,train,MAGPIE
"' Penny for your thoughts, ' teased Stephen, coming to put his arms round her waist.",en,,,1,a penny for your thoughts,train,MAGPIE
"Oh er he, he's worth a pretty penny is Sounness.",en,,,1,a pretty penny,train,MAGPIE
"I mean, she's an attractive girl, so she is, despite her ideas, and she could make a pretty penny out of her looks.",en,,,1,a pretty penny,train,MAGPIE
"Chris Howes spends a pretty penny, with no regrets.",en,,,1,a pretty penny,train,MAGPIE
"Since they are hard to find, except in odd little shops that specialise in big underpants and sheepskin slippers for old people, they cost a pretty penny.",en,,,1,a pretty penny,train,MAGPIE
"And as she stared, there was interposed on the fair skin face of a man, a thin man, and he was leering at her as if in triumph, as he would do if he were to get hold of this unusual - looking child, for he 'd make a pretty penny out of her, no matter what channel he sent her along, his nursery, the street, or the boat.",en,,,1,a pretty penny,train,MAGPIE
"Stencil a border round the ceiling, around the door and windows, and above the skirting boards.",en,,,0,above board,train,MAGPIE
"As I see it, it's up to Peggy, and knowing her I can't see that she 'd let anything happen that wasn't above board.’",en,,,1,above board,train,MAGPIE
Mr Delors insists that it is up to the pontifical authorities to check that everything is above board.,en,,,1,above board,train,MAGPIE
And it's imperative that you play it all above board.,en,,,1,above board,train,MAGPIE
There would be no reason for Mohammed's existence if every minister and ministry were above board : arms dealers are used either because deals are shady — circumventing arms embargoes for example— or to allow government officials a healthy ( illegal ) cut.,en,,,1,above board,train,MAGPIE
It's all above board.’,en,,,1,above board,train,MAGPIE
"It's all above board, Rosie.",en,,,1,above board,train,MAGPIE
Everything is above board except the strategy.,en,,,1,above board,train,MAGPIE
"Everything was very legitimate and above board, but we had very specific requirements of what we wanted this representation to be, because it is life size.",en,,,1,above board,train,MAGPIE
"Having said that, everything was done above board.",en,,,1,above board,train,MAGPIE
"I know he has a reputation for toughness that could match Martin's any day, but the difference is that everything he does is legal and above board.",en,,,1,above board,train,MAGPIE
"When mounting the mercury switch S1, position the switch body about 10 mm above the board to allow it to be angled to adjust its sensitivity.",en,,,0,above board,train,MAGPIE
"As regards Editing for Industry, I am satisfied the management structure and the people involved ensure that it is far and above board — I would not wish to be associated with anything that damaged my reputation or that of the Association.",en,,,1,above board,train,MAGPIE
"It means that when you go along to the social services, register and it's above board children's work that you are doing.",en,,,1,above board,train,MAGPIE
"A lover is illicit — the whole point of being married, it seems to me, is that everything is above board and clean.’",en,,,1,above board,train,MAGPIE
"All this was above board and the developers reached an agreement to pay a per acre developed contribution to the district council towards development costs, as did the county council.",en,,,1,above board,train,MAGPIE
"There is no question here that PW acted completely above board, but it strikes me that the time has come to consider whether the profession's rules and regulations on reporting to external authorities are not too restrictive.",en,,,1,above board,train,MAGPIE
Rest assured that whatever happens the proceedings will be above board.,en,,,1,above board,train,MAGPIE
"He is an extremely nice man and was seen to be a successful and popular president, although his name was linked to allegations that certain transactions were not totally above board.",en,,,1,above board,train,MAGPIE
Yeah but if you do it above board I can't see,en,,,1,above board,train,MAGPIE
The use of sleeving on the l.e.d. wires ensures that they are all at the same height above the board : Also make sure that they are in line when viewed along the length of the sequence.,en,,,0,above board,train,MAGPIE
"So long as you keep things above board your schemes will be tolerated, perhaps even appreciated, but don't over - stretch your imagination as the results could border on the bizarre.",en,,,1,above board,train,MAGPIE
‘ But if your private affairs were open and above board you wouldn't be worrying about having to conceal a phone caller's identity — which is what you are doing.’,en,,,1,above board,train,MAGPIE
"No, whole thing's perfectly above board.’",en,,,1,above board,train,MAGPIE
"‘ Well, if you do, do you think any of them would have signed this form if it had not been all in order and above board?’",en,,,1,above board,train,MAGPIE
I would think it would be above board,en,,,1,above board,train,MAGPIE
Two huge screens above the chess boards carried illuminated chess graphics to display the games.,en,,,0,above board,train,MAGPIE
"You give it your name, and it's all above - board, or something.",en,,,1,above board,train,MAGPIE
"‘ A lover is illicit — the whole point of being married, it seems to me, is that everything is above board and clean’",en,,,1,above board,train,MAGPIE
"And meanwhile, above - board …",en,,,1,above board,train,MAGPIE
"He had come from out of town with a fortune, was known to have been a vociferous Bund supporter before the war and had set up a chain of more or less above - board casinos in the districts where gambling was more or less legal.",en,,,1,above board,train,MAGPIE
All above - board.,en,,,1,above board,train,MAGPIE
She's open and above - board.,en,,,1,above board,train,MAGPIE
"Oh, no oh no it's not like that, it's a proper model agency in er, in Nottingham, it, it sounds above board, well I 've heard of the, the lass that's running it actually, she's an ex page three girl, she's er very good, you know, from what I 've heard it's erm, it's a reputable agency and er, yeah the ones of the sharks doing that, but er, she ain't one of them thing is she doe she",en,,,1,above board,train,MAGPIE
‘ We can be perfectly respectable and above board.’,en,,,1,above board,train,MAGPIE
Possibly because some of them might 've been councillors and knew the ways that sort of er things went on and how to get things done officially and above board.,en,,,1,above board,train,MAGPIE
They all know they were all told that it's it's all a bit above board.,en,,,1,above board,train,MAGPIE
"he's been able to get round it really, it might well be above board, but the police have been looking into it",en,,,1,above board,train,MAGPIE
"If you have a moisture meter, test the corners and centre of each wall just above the skirting board ; otherwise tap the plaster, feel with a dry hand for damp and coldness, and look out for loose wallpaper or flaking emulsion paint.",en,,,0,above board,train,MAGPIE
But concern about the operation has been so great that police on the Isle of Man have been flooded with more than 50 calls asking if the operation is above board.,en,,,1,above board,train,MAGPIE
"Don't look like that — I know it's horrid, having to take people's money, but we 've got to live, and what we 're going to do is absolutely honest and above - board.’",en,,,1,above board,train,MAGPIE
"On occasion one hears of unusual circumstances surrounding tenders, where neither the vendor nor tenderers are present to affirm that everything was above - board.",en,,,1,above board,train,MAGPIE
"Yet, as it happened, he was registering well above par that evening, for three of the four ideas he had formulated were finally to prove wholly correct.",en,,,1,above par,train,MAGPIE
"If the current price is above par, the operative life of the bond will depend on the date on which the call price falls below the current price.",en,,,1,above par,train,MAGPIE
